Property,Mirantis_D,Mirantis_ND,Mozilla_D,Mozilla_ND,Openstack_D,Openstack_ND,Wikimedia_D,Wikimedia_ND
Attribute,23.0,6.5,10.0,3.0,13.0,5.0,12.0,3.0
Comment,14.0,4.5,3.0,3.0,17.0,21.0,8.0,4.0
Command,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ensure,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
File,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
File_mode,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hard_coded_string,19.5,4.0,4.0,2.0,8.0,4.0,8.0,2.0
Include,5.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0
Lines_of_code,90.0,38.0,53.0,25.0,77.0,46.0,57.0,20.0
Require,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SSH_KEY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URL,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
